Publication Number,Application Number,Disclosure-Information ,Specification,Responsible Working Group,CT WG 4,SA 2,RAN 3,RAN 2,RAN 5,RAN 6,SA 6,SA 5,CT WG 3,CT WG 1,RAN 4,SA 1,RAN 1,SA 3,CT WG 6,SA 4
EP3277024B1,EP2017189488A,"ISLD : ISLD-201805-014 Disc : 92 Project : 3GPP NR Rel 15 Standard : TS 38.331 Version :  Section :  Disclosure-Date : 05/04/18
ISLD : ISLD-201805-018 Disc : 58 Project : 3GPP NR Rel 15 Standard : TS 38.331 Version :  Section :  Disclosure-Date : 05/11/18
ISLD : ISLD-201905-014 Disc : 26 Project : 3GPP 5G NR Standard : TS 38.300|TS 38.321|TS 38.331 Version : 15.1.0|15.1.0|15.1.0 Section : || Disclosure-Date : 05/09/19
ISLD : ISLD-201907-045 Disc : 13 Project : LTE Advanced Pro/5G Standard : TS 38.300|TS 38.331|TS 36.331|TS 36.300 Version : ||| Section : ||| Disclosure-Date : 07/31/19
ISLD : ISLD-201907-046 Disc : 115 Project : LTE Advanced Pro/5G Standard : TS 38.331|TS 36.331|TS 38.321|TS 36.321 Version : ||| Section : ||| Disclosure-Date : 07/31/19
ISLD : ISLD-201907-046 Disc : 119 Project : LTE Advanced Pro/5G Standard : TS 38.300|TS 38.331|TS 36.331|TS 36.300 Version : ||| Section : ||| Disclosure-Date : 07/31/19
ISLD : ISLD-201907-046 Disc : 161 Project : LTE Advanced Pro/5G Standard : TS 38.331|TS 36.331|TS 38.321|TS 36.321 Version : ||| Section : ||| Disclosure-Date : 07/31/19
ISLD : ISLD-201907-046 Disc : 18 Project : LTE Advanced Pro/5G Standard : TS 38.331|TS 36.304|TS 38.304|TS 36.331 Version : ||| Section : ||| Disclosure-Date : 07/31/19",TS 38.331,RAN 2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
EP3544198A1,EP2019172955A,ISLD : ISLD-201704-009 Disc : 5 Project : 3GPP NR Rel 15 Standard : TS 38.213|TS 38.331|TS 38.214|TS 38.211 Version : 15.0.0|15.0.0|15.0.0|15.0.0 Section : ||| Disclosure-Date : 05/19/17,TS 38.213|TS 38.331|TS 38.214|TS 38.211,RAN 1|RAN 2|RAN 1|RAN 1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
EP3544360A1,EP2019167098A,ISLD : ISLD-201705-021 Disc : 19 Project : 3GPP NR Rel 15 Standard : TS 38.213|TS 38.214|TS 38.211 Version : 15.0.0|15.0.0|15.0.0 Section : || Disclosure-Date : 05/22/17,TS 38.213|TS 38.214|TS 38.211,RAN 1|RAN 1|RAN 1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
EP3189648B1,EP2016847578A,ISLD : ISLD-201705-022 Disc : 27 Project : 3GPP NR Rel 15 Standard : TS 38.213|TS 38.214 Version : 15.0.0|15.0.0 Section : | Disclosure-Date : 05/22/17,TS 38.213|TS 38.214,RAN 1|RAN 1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
EP3516908A4,EP2017890105A,ISLD : ISLD-201705-026 Disc : 8 Project : 3GPP NR Rel 15 Standard : TS 38.213|TS 38.214|TS 38.321 Version : 15.0.0|15.0.0|15.0.0 Section : || Disclosure-Date : 05/22/17,TS 38.213|TS 38.214|TS 38.321,RAN 1|RAN 1|RAN 2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
EP3373663B1,EP2018158773A,"ISLD : ISLD-201711-005 Disc : 22 Project : 3GPP-Release-15 (LTE-Advanced Pro, NR release 15) Standard : TS 38.321 Version :  Section :  Disclosure-Date : 12/22/17
ISLD : ISLD-201906-026 Disc : 143 Project : 3GPP 5G NR Standard : TS 38.321 Version :  Section :  Disclosure-Date : 06/21/19",TS 38.321,RAN 2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
EP2941061B1,EP2013871484A,ISLD : ISLD-201711-019 Disc : 43 Project : New Radio(NR) Standard : TS 38.213|TS 38.300|TS 38.331|TS 38.212|TS 38.211|TS 38.214 Version : ||||| Section : ||||| Disclosure-Date : 12/25/17,TS 38.213|TS 38.300|TS 38.331|TS 38.212|TS 38.211|TS 38.214,RAN 1|RAN 2|RAN 2|RAN 1|RAN 1|RAN 1,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0
EP3503668A4,EP2017850303A,ISLD : ISLD-201711-019 Disc : 315 Project : New Radio(NR) Standard : TS 38.321|TS 38.213|TS 38.413|TS 38.300|TS 38.331|TS 38.423|TS 38.212|TS 38.211|TS 38.214|TS 38.215 Version : ||||||||| Section : ||||||||| Disclosure-Date : 12/25/17,TS 38.321|TS 38.213|TS 38.413|TS 38.300|TS 38.331|TS 38.423|TS 38.212|TS 38.211|TS 38.214|TS 38.215,RAN 2|RAN 1|RAN 3|RAN 2|RAN 2|RAN 3|RAN 1|RAN 1|RAN 1|RAN 1,0,0,2,3,0,0,0,0,0,0,0,0,5,0,0,0
EP3506581A4,EP2017871910A,ISLD : ISLD-201711-019 Disc : 791 Project : New Radio(NR) Standard : TS 38.321|TS 38.101|TS 38.331|TS 38.213|TS 38.413|TS 23.502|TS 38.473|TS 23.501|TS 38.300|TS 38.322|TS 38.423|TS 37.340|TS 38.212|TS 38.323|TS 38.211|TS 38.214|TS 38.215 Version : |||||||||||||||| Section : |||||||||||||||| Disclosure-Date : 12/25/17,TS 38.321|TS 38.101|TS 38.331|TS 38.213|TS 38.413|TS 23.502|TS 38.473|TS 23.501|TS 38.300|TS 38.322|TS 38.423|TS 37.340|TS 38.212|TS 38.323|TS 38.211|TS 38.214|TS 38.215,RAN 2|RAN 4|RAN 2|RAN 1|RAN 3|SA 2|RAN 3|SA 2|RAN 2|RAN 2|RAN 3|RAN 2|RAN 1|RAN 2|RAN 1|RAN 1|RAN 1,0,2,3,6,0,0,0,0,0,0,1,0,5,0,0,0
EP3528572A4,EP2017867785A,ISLD : ISLD-201711-019 Disc : 834 Project : New Radio(NR) Standard : TS 38.321|TS 38.101|TS 38.331|TS 38.213|TS 38.413|TS 23.502|TS 23.501|TS 38.300|TS 38.322|TS 38.423|TS 37.340|TS 38.212|TS 38.323|TS 38.211|TS 38.214|TS 38.215 Version : ||||||||||||||| Section : ||||||||||||||| Disclosure-Date : 12/25/17,TS 38.321|TS 38.101|TS 38.331|TS 38.213|TS 38.413|TS 23.502|TS 23.501|TS 38.300|TS 38.322|TS 38.423|TS 37.340|TS 38.212|TS 38.323|TS 38.211|TS 38.214|TS 38.215,RAN 2|RAN 4|RAN 2|RAN 1|RAN 3|SA 2|SA 2|RAN 2|RAN 2|RAN 3|RAN 2|RAN 1|RAN 2|RAN 1|RAN 1|RAN 1,0,2,2,6,0,0,0,0,0,0,1,0,5,0,0,0
EP3544232A1,EP2017872745A,ISLD : ISLD-201711-019 Disc : 867 Project : New Radio(NR)|New Core(NC) Standard : TS 23.502|TS 23.501 Version : | Section : | Disclosure-Date : 12/25/17,TS 23.502|TS 23.501,SA 2|SA 2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EP3361805B1,EP2017208819A,ISLD : ISLD-201711-019 Disc : 1024 Project : New Radio(NR) Standard : TS 38.212|TS 38.213|TS 38.211|TS 38.331|TS 38.214 Version : |||| Section : |||| Disclosure-Date : 12/25/17,TS 38.212|TS 38.213|TS 38.211|TS 38.331|TS 38.214,RAN 1|RAN 1|RAN 1|RAN 2|RAN 1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0
EP3420659A4,EP2017757369A,ISLD : ISLD-201712-055 Disc : 5 Project : 3GPP 5G NR Standard : TS 38.201|TS 38.212|TS 38.211 Version : || Section : || Disclosure-Date : 12/28/17,TS 38.201|TS 38.212|TS 38.211,RAN 1|RAN 1|RAN 1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
EP2700258B1,EP2011863825A,ISLD : ISLD-201804-016 Disc : 178 Project : New Radio(NR) Standard : TS 38.213|TS 38.300|TS 38.331|TS 38.212|TS 38.211|TS 38.133|TS 38.214 Version : |||||| Section : |||||| Disclosure-Date : 04/24/18,TS 38.213|TS 38.300|TS 38.331|TS 38.212|TS 38.211|TS 38.133|TS 38.214,RAN 1|RAN 2|RAN 2|RAN 1|RAN 1|RAN 4|RAN 1,0,0,0,2,0,0,0,0,0,0,1,0,4,0,0,0
EP3084985B1,EP2014872904A,ISLD : ISLD-201805-002 Disc : 69 Project : 3GPP NR Rel 15 Standard : TS 38.213 Version :  Section :  Disclosure-Date : 05/03/18,TS 38.213,RAN 1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
EP2777176B1,EP2012848612A,ISLD : ISLD-201805-002 Disc : 93 Project : 3GPP NR Rel 15 Standard : TS 38.211 Version :  Section :  Disclosure-Date : 05/03/18,TS 38.211,RAN 1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
EP3544199A1,EP2019173518A,"ISLD : ISLD-201805-005 Disc : 2 Project : 3GPP NR Rel 15 Standard : TS 38.214 Version :  Section :  Disclosure-Date : 05/03/18
ISLD : ISLD-201907-045 Disc : 50 Project : LTE Advanced Pro/5G Standard : TS 38.331|TS 36.211|TS 36.331|TS 38.211 Version : ||| Section : ||| Disclosure-Date : 07/31/19",TS 38.214,RAN 1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
EP3544213A1,EP2019172123A,"ISLD : ISLD-201805-022 Disc : 94 Project : 3GPP-Release-15 Standard : TS 38.211|TS 38.214 Version : | Section : | Disclosure-Date : 03/16/18
ISLD : ISLD-201903-008 Disc : 24 Project : 3GPP-Release-15 Standard : TS 38.212|TS 38.213 Version : | Section : | Disclosure-Date : 04/03/19",TS 38.211|TS 38.214,RAN 1|RAN 1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
EP3542590A1,EP2016806389A,ISLD : ISLD-201809-208 Disc : 18 Project : 5G Standard : TS 38.300 Version : 15.2.0 Section :  Disclosure-Date : 09/12/18,TS 38.300,RAN 2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
EP3544356A1,EP2017854805A,ISLD : ISLD-201809-245 Disc : 6 Project : 5G Standard : TS 38.201|TS 38.212|TS 38.211|TS 38.331|TS 38.213 Version : |||| Section : |||| Disclosure-Date : 09/14/18,TS 38.201|TS 38.212|TS 38.211|TS 38.331|TS 38.213,RAN 1|RAN 1|RAN 1|RAN 2|RAN 1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0
EP2609727B1,EP2010751589A,ISLD : ISLD-201809-258 Disc : 59 Project : 5G Standard : TS 24.229 Version : 15.2.0 Section : B.1|B.2.2.6|B.3.2.3 Disclosure-Date : 09/14/18,TS 24.229,CT WG 1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
EP3542571A1,EP2017870857A,ISLD : ISLD-201809-266 Disc : 27 Project : 5G Standard : TS 38.401|TS 38.300 Version : 15.2.0|15.2.0 Section : | Disclosure-Date : 09/14/18,TS 38.401|TS 38.300,RAN 3|RAN 2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
EP2471289B1,EP2010748181A,ISLD : ISLD-201809-296 Disc : 1 Project : 5G Standard : TS 33.401|TS 38.300 Version : 15.4.0|15.2.0 Section : | Disclosure-Date : 09/14/18,TS 33.401|TS 38.300,SA 3|RAN 2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
EP3544350A1,EP2017880695A,ISLD : ISLD-201810-041 Disc : 43 Project : New Radio(NR) Standard : TS 38.101|TS 38.213|TS 38.321|TS 38.300|TS 38.331|TS 38.212|TS 38.211|TS 38.214 Version : ||||||| Section : ||||||| Disclosure-Date : 10/23/18,TS 38.101|TS 38.213|TS 38.321|TS 38.300|TS 38.331|TS 38.212|TS 38.211|TS 38.214,RAN 4|RAN 1|RAN 2|RAN 2|RAN 2|RAN 1|RAN 1|RAN 1,0,0,0,3,0,0,0,0,0,0,1,0,4,0,0,0
EP3364696B1,EP2018160119A,"ISLD : ISLD-201810-041 Disc : 181 Project : New Radio(NR) Standard : TS 38.101|TS 38.213|TS 38.321|TS 38.300|TS 38.331|TS 38.212|TS 38.211|TS 38.214|TS 38.215 Version : |||||||| Section : |||||||| Disclosure-Date : 10/23/18
ISLD : ISLD-201908-012 Disc : 53 Project : New Radio(NR) Standard : TS 38.304 Version :  Section :  Disclosure-Date : 08/14/19",TS 38.101|TS 38.213|TS 38.321|TS 38.300|TS 38.331|TS 38.212|TS 38.211|TS 38.214|TS 38.215,RAN 4|RAN 1|RAN 2|RAN 2|RAN 2|RAN 1|RAN 1|RAN 1|RAN 1,0,0,0,3,0,0,0,0,0,0,1,0,5,0,0,0
EP3544359A1,EP2019152953A,ISLD : ISLD-201810-041 Disc : 241 Project : New Radio(NR) Standard : TS 36.423|TS 38.213|TS 38.300|TS 36.331|TS 38.425|TS 37.340|TS 38.331 Version : |||||| Section : |||||| Disclosure-Date : 10/23/18,TS 36.423|TS 38.213|TS 38.300|TS 36.331|TS 38.425|TS 37.340|TS 38.331,RAN 3|RAN 1|RAN 2|RAN 2|RAN 3|RAN 2|RAN 2,0,0,2,4,0,0,0,0,0,0,0,0,1,0,0,0
EP3542481A1,EP2017884045A,ISLD : ISLD-201810-047 Disc : 2 Project : 3GPP NR Rel 15 Standard : TS 38.212 Version :  Section :  Disclosure-Date : 10/19/18,TS 38.212,RAN 1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
EP1669955B1,EP200524336A,"ISLD : ISLD-201810-061 Disc : 27 Project : 5G Standard : TS 33.221|TS 24.109|TS 33.221|TS 24.109 Version : 15.0.0|15.0.0|15.0.0|15.0.0 Section : 4.1, 4.6, 4.4.8|||5.2 Disclosure-Date : 10/23/18",TS 33.221|TS 24.109|TS 33.221|TS 24.109,SA 3|CT WG 1|SA 3|CT WG 1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
EP3544211A1,EP2019172447A,"ISLD : ISLD-201810-070 Disc : 14 Project : 3GPP-Release-15 (GSM Phase 2+, UMTS, LTE, NR release 15) Standard : TS 38.101 Version :  Section :  Disclosure-Date : 10/25/18
ISLD : ISLD-201810-070 Disc : 15 Project : 3GPP-Release-15 (GSM Phase 2+, UMTS, LTE, NR release 15) Standard : TS 38.101 Version :  Section :  Disclosure-Date : 10/25/18",TS 38.101,RAN 4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EP2395679B1,EP2010738781A,"ISLD : ISLD-201810-075 Disc : 9 Project : 3GPP-Release-15 (GSM Phase 2+, UMTS, LTE, NR release 15) Standard : TS 38.213|TS 38.211|TS 38.214 Version : || Section : || Disclosure-Date : 10/26/18",TS 38.213|TS 38.211|TS 38.214,RAN 1|RAN 1|RAN 1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
EP3410772A4,EP2017744200A,"ISLD : ISLD-201811-004 Disc : 14 Project : 3GPP Release-15 Standard : TS 38.211|TS 38.300|TS 38.214 Version : 15.0.0|15.0.0|15.0.0 Section : 4.1,4.2,4.3,7.1.1,7.1.2,7.4.3.1|4.4.1|5.1.1.1 Disclosure-Date : 04/02/19",TS 38.211|TS 38.300|TS 38.214,RAN 1|RAN 2|RAN 1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
EP3544214A1,EP2019172565A,"ISLD : ISLD-201812-017 Disc : 5 Project : 3GPP-Release-15 (GSM Phase 2+, UMTS, LTE, NR release 15) Standard : TS 38.212|TS 38.213 Version : | Section : | Disclosure-Date : 12/18/18",TS 38.212|TS 38.213,RAN 1|RAN 1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
EP3242432B1,EP2015875751A,"ISLD : ISLD-201812-017 Disc : 12 Project : 3GPP-Release-15 (GSM Phase 2+, UMTS, LTE, NR release 15) Standard : TS 38.212|TS 38.213|TS 38.331|TS 38.214 Version : ||| Section : ||| Disclosure-Date : 12/18/18",TS 38.212|TS 38.213|TS 38.331|TS 38.214,RAN 1|RAN 1|RAN 2|RAN 1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
EP3429116A4,EP2017763536A,"ISLD : ISLD-201812-019 Disc : 10 Project : 3GPP-Release-15 (GSM Phase 2+, UMTS, LTE, NR release 15) Standard : TS 36.211 Version : 15.3.0 Section :  Disclosure-Date : 12/18/18",TS 36.211,RAN 1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
EP3542515A1,EP2018869454A,ISLD : ISLD-201812-031 Disc : 10 Project : 3GPP 5G Standard : TS 29.510|TS 29.510|TS 23.501|TS 23.501 Version : 15.1.0|15.1.0|15.3.0|15.3.0 Section : |5|6||4 Disclosure-Date : 01/07/19,TS 29.510|TS 29.510|TS 23.501|TS 23.501,CT WG 4|CT WG 4|SA 2|SA 2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EP3542569A1,EP2017872006A,ISLD : ISLD-201902-012 Disc : 8 Project : 3GPP 5G NR Standard : TS 38.211|TS 38.300|TS 38.300 Version : |15.3.0|15.3.0 Section : 7||1|5 Disclosure-Date : 02/28/19,TS 38.211|TS 38.300|TS 38.300,RAN 1|RAN 2|RAN 2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
EP3542584A1,EP2016922030A,ISLD : ISLD-201902-013 Disc : 2 Project : 3GPP 5G NR Standard : TS 38.321|TS 38.213|TS 38.321 Version : 15.3.0||15.3.0 Section : |10|5 Disclosure-Date : 02/28/19,TS 38.321|TS 38.213|TS 38.321,RAN 2|RAN 1|RAN 2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
EP3544351A1,EP2018863793A,ISLD : ISLD-201902-039 Disc : 50 Project : 3GPP Standard : TS 38.212|TS 38.213|TS 38.331 Version : || Section : || Disclosure-Date : 02/21/19,TS 38.212|TS 38.213|TS 38.331,RAN 1|RAN 1|RAN 2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
EP3544334A1,EP2019173771A,ISLD : ISLD-201903-014 Disc : 5 Project : 3GPP NR Rel 15 Standard : TS 38.425|TS 38.425|TS 37.340|TS 37.340 Version : 15.4.0|15.4.0|15.4.0|15.4.0 Section : 5.4.1|5.4.2|5.5.2.1|5.5.3.3||4.2| Disclosure-Date : 03/29/19,TS 38.425|TS 38.425|TS 37.340|TS 37.340,RAN 3|RAN 3|RAN 2|RAN 2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
EP3542558A1,EP2017872832A,ISLD : ISLD-201905-054 Disc : 3 Project : 5G Standard : TS 23.502|TS 23.501|TS 23.501|TS 23.502 Version : 15.4.1|15.5.0|15.5.0|15.4.1 Section : 4.2.7.2.5|5.21.2.2.1|| Disclosure-Date : 05/27/19,TS 23.502|TS 23.501|TS 23.501|TS 23.502,SA 2|SA 2|SA 2|SA 2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EP3509259A4,EP2016916608A,ISLD : ISLD-201906-004 Disc : 160 Project : New Radio(NR) Standard : TS 38.321|TS 38.213|TS 38.331|TS 38.212|TS 38.211|TS 38.214 Version : ||||| Section : ||||| Disclosure-Date : 06/06/19,TS 38.321|TS 38.213|TS 38.331|TS 38.212|TS 38.211|TS 38.214,RAN 2|RAN 1|RAN 2|RAN 1|RAN 1|RAN 1,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0
EP3544246A1,EP2017870918A,ISLD : ISLD-201906-027 Disc : 6 Project : New Core(NC) Standard : TS 29.244|TS 23.502|TS 23.501 Version : || Section : || Disclosure-Date : 06/20/19,TS 29.244|TS 23.502|TS 23.501,CT WG 4|SA 2|SA 2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EP3509368A4,EP2018771456A,ISLD : ISLD-201907-019 Disc : 3 Project : 5G Standard : TS 36.304|TS 36.213 Version : | Section : | Disclosure-Date : 07/12/19,TS 36.304|TS 36.213,RAN 2|RAN 1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
EP3445123B1,EP2018187939A,ISLD : ISLD-201907-026 Disc : 71 Project : 3GPP 5G NR Standard : TS 38.331|TS 38.321 Version : | Section : | Disclosure-Date : 05/09/19,TS 38.331|TS 38.321,RAN 2|RAN 2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
EP3054614B1,EP2013896690A,ISLD : ISLD-201908-008 Disc : 201 Project : New Radio(NR) Standard : TS 38.101|TS 38.331|TS 38.213|TS 38.321|TS 38.300|TS 38.322|TS 38.212|TS 38.211|TS 38.214 Version : |||||||| Section : |||||||| Disclosure-Date : 08/06/19,TS 38.101|TS 38.331|TS 38.213|TS 38.321|TS 38.300|TS 38.322|TS 38.212|TS 38.211|TS 38.214,RAN 4|RAN 2|RAN 1|RAN 2|RAN 2|RAN 2|RAN 1|RAN 1|RAN 1,0,0,0,4,0,0,0,0,0,0,1,0,4,0,0,0
EP3544358A1,EP2018775522A,ISLD : ISLD-201909-018 Disc : 18 Project : 5G Standard : TS 38.212|TS 36.212 Version : | Section : | Disclosure-Date : 09/09/19,TS 38.212|TS 36.212,RAN 1|RAN 1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
CN110267300A,CN201910404564A,ISLD : ISLD-201705-011 Disc : 16 Project : 3GPP NR Rel 15 Standard : TS 38.215|TS 38.331|TS 38.306 Version : 15.0.0|15.0.0|15.0.0 Section : || Disclosure-Date : 05/19/17,TS 38.215|TS 38.331|TS 38.306,RAN 1|RAN 2|RAN 2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
CN110266631A,CN201910561574A,"ISLD : ISLD-201711-019 Disc : 293 Project : New Radio(NR) Standard : TS 38.321|TS 38.213|TS 38.300|TS 38.331|TS 38.212|TS 38.211|TS 38.214|TS 38.215 Version : ||||||| Section : ||||||| Disclosure-Date : 12/25/17
ISLD : ISLD-201810-041 Disc : 148 Project : New Radio(NR) Standard : TS 38.101|TS 38.213|TS 38.321|TS 38.300|TS 38.331|TS 38.212|TS 38.211|TS 38.214|TS 38.215 Version : |||||||| Section : |||||||| Disclosure-Date : 10/23/18",TS 38.321|TS 38.213|TS 38.300|TS 38.331|TS 38.212|TS 38.211|TS 38.214|TS 38.215,RAN 2|RAN 1|RAN 2|RAN 2|RAN 1|RAN 1|RAN 1|RAN 1,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0
CN109005591B,CN201810835238A,ISLD : ISLD-201711-019 Disc : 723 Project : New Radio(NR) Standard : TS 38.321|TS 38.331|TS 38.213|TS 38.413|TS 38.323|TS 38.473|TS 38.300|TS 38.322|TS 38.423|TS 37.340|TS 38.212|TS 38.211|TS 38.214|TS 38.215 Version : ||||||||||||| Section : ||||||||||||| Disclosure-Date : 12/25/17,TS 38.321|TS 38.331|TS 38.213|TS 38.413|TS 38.323|TS 38.473|TS 38.300|TS 38.322|TS 38.423|TS 37.340|TS 38.212|TS 38.211|TS 38.214|TS 38.215,RAN 2|RAN 2|RAN 1|RAN 3|RAN 2|RAN 3|RAN 2|RAN 2|RAN 3|RAN 2|RAN 1|RAN 1|RAN 1|RAN 1,0,0,3,6,0,0,0,0,0,0,0,0,5,0,0,0
CN110268750A,CN201880009511A,ISLD : ISLD-201806-038 Disc : 1 Project : 3GPP-Release-15 Standard : TS 24.501|TS 23.501 Version : | Section : | Disclosure-Date : 03/16/18,TS 24.501|TS 23.501,CT WG 1|SA 2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CN110268743A,CN201880011124A,ISLD : ISLD-201806-038 Disc : 8 Project : 3GPP-Release-15 Standard : TS 38.331|TS 38.213|TS 38.214 Version : || Section : || Disclosure-Date : 03/16/18,TS 38.331|TS 38.213|TS 38.214,RAN 2|RAN 1|RAN 1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
CN110268664A,CN201880008152A,ISLD : ISLD-201807-059 Disc : 15 Project : 3GPP-Release-15 Standard : TS 38.212|TS 38.214 Version : | Section : | Disclosure-Date : 06/08/18,TS 38.212|TS 38.214,RAN 1|RAN 1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
CN110268776A,CN201880010964A,ISLD : ISLD-201807-059 Disc : 16 Project : 3GPP-Release-15 Standard : TS 38.331|TS 38.101 Version : | Section : | Disclosure-Date : 06/08/18,TS 38.331|TS 38.101,RAN 2|RAN 4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
CN110268751A,CN201880010065A,ISLD : ISLD-201809-270 Disc : 12 Project : 5G Standard : TS 23.501 Version : 15.1.0 Section : 5.21.2.2.1|5.9.4 Disclosure-Date : 09/14/18,TS 23.501,SA 2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN110267313A,CN201910335573A,ISLD : ISLD-201809-318 Disc : 53 Project : 5G Standard : TS 38.306|TS 38.331 Version : 15.2.0|15.2.0 Section : | Disclosure-Date : 09/15/18,TS 38.306|TS 38.331,RAN 2|RAN 2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
CN108307350B,CN201610867941A,ISLD : ISLD-201810-032 Disc : 160 Project : 5G Standard : TS 38.300|TS 38.331|TS 23.502|TS 23.501 Version : ||| Section : ||| Disclosure-Date : 10/24/18,TS 38.300|TS 38.331|TS 23.502|TS 23.501,RAN 2|RAN 2|SA 2|SA 2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
CN110268796A,CN201880009432A,"ISLD : ISLD-201811-005 Disc : 133 Project : 3GPP Release-15 Standard : TS 23.502|TS 23.501|TS 23.502|TS 23.501 Version : 15.2.0|15.2.0|15.2.0|15.2.0 Section : 4.2.2.2,4.2.2.2.2,4.2.4,4.2.4.2,4.3.2.2,4.3.2.2.1|||3.1,5.6.5 Disclosure-Date : 04/02/19",TS 23.502|TS 23.501|TS 23.502|TS 23.501,SA 2|SA 2|SA 2|SA 2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN110268785A,CN201880009726A,"ISLD : ISLD-201901-032 Disc : 15 Project : 3GPP-Release-15 (GSM Phase 2+, UMTS, LTE, NR release 15) Standard : TS 38.212|TS 38.213|TS 38.211 Version : || Section : || Disclosure-Date : 01/31/19",TS 38.212|TS 38.213|TS 38.211,RAN 1|RAN 1|RAN 1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
CN110268744A,CN201880011638A,ISLD : ISLD-201902-011 Disc : 4 Project : 3GPP 5G NR Standard : TS 38.133|TS 38.133 Version : 15.3.0|15.3.0 Section : 7| Disclosure-Date : 02/28/19,TS 38.133|TS 38.133,RAN 4|RAN 4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
CN110267307A,CN201910435037A,ISLD : ISLD-201902-030 Disc : 15 Project : 3GPP 5G Standard : TS 23.501|TS 23.501 Version : 15.3.0|15.3.0 Section : |6 Disclosure-Date : 02/28/19,TS 23.501|TS 23.501,SA 2|SA 2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN110268773A,CN201880005464A,ISLD : ISLD-201902-039 Disc : 11 Project : 3GPP Standard : TS 38.212|TS 38.331|TS 38.211|TS 38.214 Version : ||| Section : ||| Disclosure-Date : 02/21/19,TS 38.212|TS 38.331|TS 38.211|TS 38.214,RAN 1|RAN 2|RAN 1|RAN 1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
